# FP1-F7,F7-T7,T7-P7,P7-O1,--0,FP1-F3,F3-C3,C3-P3,P3-O1,--1,FZ-CZ,CZ-PZ,--2,FP2-F4,F4-C4,C4-P4,P4-O2,--3,FP2-F8,F8-T8,T8-P8-0,P8-O2,--4,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
1.465201465201465099e-05,6.349206349206348930e-05,7.208791208791209023e-05,-3.848595848595848441e-05,1.953601953601946625e-07,3.067155067155066784e-05,2.715506715506715174e-05,2.949938949938949467e-05,2.324786324786324684e-05,1.953601953601946625e-07,5.841269841269841124e-05,1.894993894993894976e-05,1.953601953601946625e-07,3.731379731379731463e-05,2.637362637362637076e-05,2.285714285714285804e-05,-5.665445665445665488e-06,1.953601953601946625e-07,5.958485958485958101e-05,4.512820512820512443e-05,-1.074481074481074439e-05,-1.191697191697191756e-05,1.953601953601946625e-07,-7.169719169719169127e-05,-5.567765567765567950e-05,6.192918192918192056e-05,2.871794871794871708e-05,-1.074481074481074439e-05
1.387057387057386831e-05,6.388278388278387471e-05,8.302808302808303072e-05,-3.418803418803418394e-05,1.953601953601946625e-07,3.926739926739926877e-05,3.106227106227106002e-05,3.106227106227106002e-05,2.442002442002441662e-05,1.953601953601946625e-07,5.645909645909645710e-05,1.973137973137973074e-05,1.953601953601946625e-07,3.809523809523809222e-05,2.949938949938949467e-05,2.676434676434676294e-05,-1.758241758241758898e-06,1.953601953601946625e-07,5.919413919413918883e-05,5.177045177045177122e-05,-2.930402930402930790e-06,-1.308913308913309072e-05,1.953601953601946625e-07,-8.263736263736263176e-05,-4.043956043956043855e-05,4.981684981684981708e-05,2.871794871794871708e-05,-2.930402930402930790e-06
1.777777777777777660e-05,4.434676434676434683e-05,9.396825396825395766e-05,-2.637362637362637415e-05,1.953601953601946625e-07,4.473748473748473224e-05,3.184371184371184439e-05,2.949938949938949467e-05,2.246642246642246247e-05,1.953601953601946625e-07,4.942612942612942489e-05,1.855921855921855758e-05,1.953601953601946625e-07,3.301587301587300739e-05,2.559218559218558978e-05,2.442002442002441662e-05,4.102564102564101835e-06,1.953601953601946625e-07,5.294261294261293422e-05,9.181929181929180742e-06,3.575091575091575267e-05,-8.009768009768009273e-06,1.953601953601946625e-07,-9.357753357753357225e-05,-4.200244200244200051e-05,5.528693528693528732e-05,-6.056166056166056825e-06,3.575091575091575267e-05
1.582417582417582245e-05,5.567765567765567950e-05,8.420024420024420050e-05,-2.207570207570207368e-05,1.953601953601946625e-07,4.669108669108668638e-05,3.379731379731379853e-05,3.379731379731379853e-05,1.816849816849816539e-05,1.953601953601946625e-07,4.004884004884004637e-05,2.168498168498168149e-05,1.953601953601946625e-07,2.949938949938949467e-05,2.246642246642246247e-05,2.090354090354090390e-05,3.321123321123320433e-06,1.953601953601946625e-07,4.942612942612942489e-05,-9.181929181929182436e-06,5.059829059829059467e-05,-1.113553113553113658e-05,1.953601953601946625e-07,-8.380952380952380154e-05,-5.333333333333333318e-05,5.294261294261293422e-05,-1.699633699633699562e-05,5.059829059829059467e-05
1.465201465201465099e-05,5.411477411477411077e-05,8.263736263736263176e-05,-1.230769230769230805e-05,1.953601953601946625e-07,4.395604395604395465e-05,3.653235653235653026e-05,3.848595848595848441e-05,1.934065934065933856e-05,1.953601953601946625e-07,3.496947496947496153e-05,2.793650793650793610e-05,1.953601953601946625e-07,2.559218559218558978e-05,1.777777777777777660e-05,2.090354090354090390e-05,5.274725274725273304e-06,1.953601953601946625e-07,4.864468864468864053e-05,-1.777777777777777660e-05,5.020757020757020249e-05,-8.009768009768009273e-06,1.953601953601946625e-07,-8.224664224664224635e-05,-3.614163614163613808e-05,4.512820512820512443e-05,-2.910866910866910588e-05,5.020757020757020249e-05
1.660561660561660343e-05,6.192918192918192056e-05,6.544566544566544344e-05,1.953601953601946625e-07,1.953601953601946625e-07,3.809523809523809222e-05,4.004884004884004637e-05,4.278388278388277810e-05,2.207570207570207368e-05,1.953601953601946625e-07,3.262515262515262198e-05,3.536019536019536049e-05,1.953601953601946625e-07,1.934065934065933856e-05,1.308913308913308903e-05,1.894993894993894976e-05,1.230769230769230635e-05,1.953601953601946625e-07,4.434676434676434683e-05,-2.363858363858363902e-05,4.317460317460317028e-05,2.148962148962148540e-06,1.953601953601946625e-07,-6.505494505494504448e-05,-4.161172161172160832e-05,3.887667887667886981e-05,-3.418803418803418394e-05,4.317460317460317028e-05
1.699633699633699562e-05,8.380952380952380154e-05,3.965811965811965418e-05,8.009768009768009273e-06,1.953601953601946625e-07,3.614163614163613808e-05,4.434676434676434683e-05,4.669108669108668638e-05,2.051282051282051172e-05,1.953601953601946625e-07,3.145299145299145221e-05,3.692307692307691567e-05,1.953601953601946625e-07,1.465201465201465099e-05,8.791208791208790252e-06,1.738705738705738441e-05,1.504273504273504148e-05,1.953601953601946625e-07,4.122100122100122292e-05,-1.894993894993894976e-05,2.910866910866910588e-05,6.056166056166055131e-06,1.953601953601946625e-07,-3.926739926739926877e-05,-6.622710622710622781e-05,3.575091575091575267e-05,-1.894993894993894976e-05,2.910866910866910588e-05
1.738705738705738441e-05,7.247863247863247564e-05,4.395604395604395465e-05,1.230769230769230635e-05,1.953601953601946625e-07,3.301587301587300739e-05,4.786324786324786294e-05,4.825396825396824834e-05,1.699633699633699562e-05,1.953601953601946625e-07,3.106227106227106002e-05,3.887667887667886981e-05,1.953601953601946625e-07,2.012210012210011953e-05,6.446886446886445620e-06,2.051282051282051172e-05,9.963369963369963416e-06,1.953601953601946625e-07,4.356532356532356247e-05,-2.285714285714285804e-05,3.379731379731379853e-05,5.274725274725273304e-06,1.953601953601946625e-07,-4.356532356532356247e-05,-4.747252747252747075e-05,3.184371184371184439e-05,-2.715506715506715174e-05,3.379731379731379853e-05
1.347985347985347952e-05,6.661782661782661322e-05,4.200244200244200051e-05,1.973137973137973074e-05,1.953601953601946625e-07,2.871794871794871708e-05,4.981684981684981708e-05,4.200244200244200051e-05,2.090354090354090390e-05,1.953601953601946625e-07,2.871794871794871708e-05,4.473748473748473224e-05,1.953601953601946625e-07,2.090354090354090390e-05,9.572649572649571232e-06,2.012210012210011953e-05,9.572649572649571232e-06,1.953601953601946625e-07,3.926739926739926877e-05,-2.090354090354090390e-05,2.871794871794871708e-05,1.504273504273504148e-05,1.953601953601946625e-07,-4.161172161172160832e-05,-4.083028083028083073e-05,2.012210012210011953e-05,-2.207570207570207368e-05,2.871794871794871708e-05
1.113553113553113488e-05,6.700854700854701218e-05,3.887667887667886981e-05,2.012210012210011953e-05,1.953601953601946625e-07,3.028083028083027904e-05,4.747252747252747075e-05,4.004884004884004637e-05,1.973137973137973074e-05,1.953601953601946625e-07,2.363858363858363564e-05,4.864468864468864053e-05,1.953601953601946625e-07,1.621489621489621464e-05,9.963369963369963416e-06,2.520146520146520098e-05,8.400488400488398069e-06,1.953601953601946625e-07,3.067155067155066784e-05,1.953601953601946625e-07,1.738705738705738441e-05,1.269841269841269684e-05,1.953601953601946625e-07,-3.848595848595848441e-05,-5.098901098901099363e-05,2.168498168498168149e-05,5.860805860805853110e-07,1.738705738705738441e-05
